PanoramaId,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,type_dome_median,type_bullet_median,type_unknown_median,n_cameras_agreement,attached_street_agreement,attached_building_agreement,attached_unknown_agreement,type_dome_agreement,type_bullet_agreement,type_unknown_agreement,Lat,Long,geometry_pano,BoroName,URL,ImageDate
7wghCxKQyakyHrNFdQFC5A,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.51422077857635,-74.2012963082188,POINT (-74.2012963082188 40.51422077857635),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=7wghCxKQyakyHrNFdQFC5A,2019-09
7wi5R7qZn3gK0RuTPYMwbw,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.8684897,-73.918489,POINT (-73.918489 40.8684897),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=7wi5R7qZn3gK0RuTPYMwbw,2019-07
7wiiUM7Oo5JgSZZzG_NFwA,1,0,0,0,0,0,0,2 vs 1,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.7063249951554,-73.95192559613967,POINT (-73.95192559613967 40.7063249951554),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7wiiUM7Oo5JgSZZzG_NFwA,2020-11
7wv53B8eiK-rhUBCsfISJw,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.72279649566737,-73.9930245220575,POINT (-73.9930245220575 40.72279649566737),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=7wv53B8eiK-rhUBCsfISJw,2017-11
7wvUgN3Xzc5-Umr-8Y59xA,3,0,3,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.83311466589232,-73.92654899967212,POINT (-73.92654899967212 40.83311466589232),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=7wvUgN3Xzc5-Umr-8Y59xA,2019-08
7xJpA-Hvv4fcsDjoWM60lA,4,2,2,0,2,0,0,2 vs 1,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.83662028940964,-73.8338623616573,POINT (-73.8338623616573 40.83662028940964),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xJpA-Hvv4fcsDjoWM60lA,2019-07
7xNKrra3gjH2PFUQUYSSig,2,0,2,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.82028541479899,-73.91188069108631,POINT (-73.91188069108631 40.82028541479899),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xNKrra3gjH2PFUQUYSSig,2019-08
7xUsW2quMxJV5JH8mf7vOQ,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,2 vs 1,Unanimous,40.71437210768495,-74.00841091689543,POINT (-74.00841091689543 40.71437210768495),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xUsW2quMxJV5JH8mf7vOQ,2019-06
7xiKm4hZxZUnr8ontoycXQ,3,0,3,0,0,0,0,All disagree,2 vs 1,All disagree,Unanimous,2 vs 1,Unanimous,Unanimous,40.65216342448553,-73.89989428274762,POINT (-73.89989428274762 40.65216342448553),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xiKm4hZxZUnr8ontoycXQ,2018-06
7xlFtNAs4Ya5TfipWvJZhg,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,40.68024293990702,-73.76947759471507,POINT (-73.76947759471507 40.68024293990702),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xlFtNAs4Ya5TfipWvJZhg,2020-10
7xngcdVvadLOilERR_L8rA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,2 vs 1,40.76352820332588,-73.98515353288182,POINT (-73.98515353288182 40.76352820332588),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xngcdVvadLOilERR_L8rA,2019-06
7xvr79KAuyTOoH9FGTE0mA,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.68897304258261,-73.76204973091963,POINT (-73.76204973091963 40.68897304258261),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xvr79KAuyTOoH9FGTE0mA,2020-11
7xyLXp3UuKYovBohnYTvuQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.64961823822248,-73.9547144436377,POINT (-73.9547144436377 40.64961823822248),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7xyLXp3UuKYovBohnYTvuQ,2020-11
7y2642mjQ1JcphRmKGt9vg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.89879352398904,-73.8478367991787,POINT (-73.8478367991787 40.89879352398904),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=7y2642mjQ1JcphRmKGt9vg,2019-11
7y95X_y3mcrizr6muaQfwA,1,0,1,0,0,0,0,All disagree,2 vs 1,All disagree,Unanimous,Unanimous,Unanimous,2 vs 1,40.77420537115219,-73.98495831433178,POINT (-73.98495831433178 40.77420537115219),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=7y95X_y3mcrizr6muaQfwA,2019-06
7yGRFiE39m0v7v8tP5Gxjw,1,1,0,0,0,1,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,2 vs 1,Unanimous,40.8135479,-73.8993525,POINT (-73.8993525 40.8135479),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=7yGRFiE39m0v7v8tP5Gxjw,2019-09
7yHMPvNpcELFPfqB-CAO_Q,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.59431796302436,-73.96353974373369,POINT (-73.96353974373369 40.59431796302436),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7yHMPvNpcELFPfqB-CAO_Q,2012-06
7yJKEhh4Z0bVuwjtnNZ1yw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.74286561836528,-73.98873361040673,POINT (-73.98873361040673 40.74286561836528),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=7yJKEhh4Z0bVuwjtnNZ1yw,2019-06
7yPB2_6DvheugeTfg01SNA,0,0,0,0,0,0,0,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,40.63723541264184,-73.93368251928543,POINT (-73.93368251928543 40.63723541264184),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7yPB2_6DvheugeTfg01SNA,2020-11
7ycMYuHmff-wIpVVWg6mcg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.77152713719174,-73.91430859960673,POINT (-73.91430859960673 40.77152713719174),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7ycMYuHmff-wIpVVWg6mcg,2019-11
7yfty7ffCKQasGtx3wzA3g,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,2 vs 1,2 vs 1,2 vs 1,Unanimous,40.70854862165117,-73.92285908962073,POINT (-73.92285908962073 40.70854862165117),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7yfty7ffCKQasGtx3wzA3g,2020-10
7yz2K0zOKF-ikp7pzXEP6w,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.68939830039223,-73.95608504047344,POINT (-73.95608504047344 40.68939830039223),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=7yz2K0zOKF-ikp7pzXEP6w,2020-11
7zAA6MgfXexI_0_c6U5L-Q,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.52111952600035,-74.21139391355734,POINT (-74.21139391355734 40.52111952600035),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zAA6MgfXexI_0_c6U5L-Q,2019-09
7zCOc3IwSmWggvM1nRGj9w,1,0,1,0,0,0,0,Unanimous,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.67523033780372,-73.84338698663116,POINT (-73.84338698663116 40.67523033780372),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zCOc3IwSmWggvM1nRGj9w,2020-11
7zE2hWVmlvHaoY58cCmC-A,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.68602804508813,-73.7266939459648,POINT (-73.7266939459648 40.68602804508813),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zE2hWVmlvHaoY58cCmC-A,2019-11
7zEMgBkIeC_NSKZ-PmLxeQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,40.59744050068063,-73.74542760945624,POINT (-73.74542760945624 40.59744050068063),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zEMgBkIeC_NSKZ-PmLxeQ,2019-11
7zbGpGNYMWcdBKu8dSpxEw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.68414901577749,-73.74518402896835,POINT (-73.74518402896835 40.68414901577749),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zbGpGNYMWcdBKu8dSpxEw,2019-07
7zbfoQAPuQoIskLwyYYfPA,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.8590662883439,-73.89813160057777,POINT (-73.89813160057777 40.8590662883439),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zbfoQAPuQoIskLwyYYfPA,2019-08
7zdd9K7Ir86yiFmNfaBhvA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,2 vs 1,Unanimous,40.69023889518994,-73.76216421491796,POINT (-73.76216421491796 40.69023889518994),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zdd9K7Ir86yiFmNfaBhvA,2013-09
7zgQRq79VXwl1WMFsGbYqQ,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.59729719467899,-74.06257856110327,POINT (-74.06257856110327 40.59729719467899),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zgQRq79VXwl1WMFsGbYqQ,2018-06
7zzLc19_mDuvUWclQjWZew,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.70316930663724,-73.75413930083589,POINT (-73.75413930083589 40.70316930663724),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=7zzLc19_mDuvUWclQjWZew,2019-07
8--KyOzAUsDtrT5hgQ5y0g,1,1,0,0,1,0,0,All disagree,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.71520050172289,-74.01312350768397,POINT (-74.01312350768397 40.71520050172289),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=8--KyOzAUsDtrT5hgQ5y0g,2019-10
8-9_TweI8_YFL70I8aK0bw,1,1,0,0,0,0,0,All disagree,All disagree,Unanimous,Unanimous,2 vs 1,Unanimous,2 vs 1,40.7329367558602,-73.84962164948084,POINT (-73.84962164948084 40.7329367558602),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=8-9_TweI8_YFL70I8aK0bw,2019-10
8-OUL0kFNZpyvziiegiQUg,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,2 vs 1,40.89253461439653,-73.85446848188907,POINT (-73.85446848188907 40.89253461439653),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=8-OUL0kFNZpyvziiegiQUg,2012-04
8-kBLGcoHtCOBgFFoJ4Hgw,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.69096890698926,-73.81438442808978,POINT (-73.81438442808978 40.69096890698926),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=8-kBLGcoHtCOBgFFoJ4Hgw,2020-11
8-siGeQvpkgSBp_YXVSZpg,4,0,4,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.7304301358524,-73.92537503851025,POINT (-73.92537503851025 40.7304301358524),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=8-siGeQvpkgSBp_YXVSZpg,2020-11
80BSUS_GV_GIqp5a0Cmfsw,1,0,1,0,0,0,0,All disagree,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.82154449812221,-73.81044132951153,POINT (-73.81044132951153 40.82154449812221),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=80BSUS_GV_GIqp5a0Cmfsw,2019-09
80Cs27ACSA0r3wWSn5XP0A,2,0,2,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.74540540611834,-73.99474661656835,POINT (-73.99474661656835 40.74540540611834),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=80Cs27ACSA0r3wWSn5XP0A,2019-10
80Jlpp-Y_4mlDGXthh55lA,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.54590565524241,-74.14201747185541,POINT (-74.14201747185541 40.54590565524241),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=80Jlpp-Y_4mlDGXthh55lA,2013-01
80KM2M0tYDjqk0PZepF86A,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.75304264752445,-73.75425071624578,POINT (-73.75425071624578 40.75304264752445),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=80KM2M0tYDjqk0PZepF86A,2019-06
80OYGXKGmikNrB9TdMlu0A,1,0,1,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.85163410739973,-73.90448150591452,POINT (-73.90448150591452 40.85163410739973),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=80OYGXKGmikNrB9TdMlu0A,2019-10
80PKZBCqXsKyNkQM6zsrog,0,0,0,0,0,0,0,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,40.58153761606306,-73.8422150244593,POINT (-73.8422150244593 40.58153761606306),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=80PKZBCqXsKyNkQM6zsrog,2019-08
80SO4kGwzZcy1RxBBFLSng,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.72803462489777,-73.87578844173657,POINT (-73.87578844173657 40.72803462489777),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=80SO4kGwzZcy1RxBBFLSng,2020-11
80TAmkOUvMR-zqIl0GN1Xw,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.72016525322469,-73.94070746667738,POINT (-73.94070746667738 40.72016525322469),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=80TAmkOUvMR-zqIl0GN1Xw,2019-07
80XDdYd7Y3qbSFJY4ROICg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.57555009446312,-73.96492597233821,POINT (-73.96492597233821 40.57555009446312),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=80XDdYd7Y3qbSFJY4ROICg,2019-10
80ZwkiEQLQPBZb-JgZNmfw,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,40.67888968828019,-74.00566579715759,POINT (-74.00566579715759 40.67888968828019),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=80ZwkiEQLQPBZb-JgZNmfw,2020-11
80c67ygf8LdV-2agpUa_tQ,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.7054747987022,-73.78157197027613,POINT (-73.78157197027613 40.7054747987022),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=80c67ygf8LdV-2agpUa_tQ,2020-11
80cPUzSQu_iV98Af9NRoww,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.67713675942096,-73.87042638978393,POINT (-73.87042638978393 40.67713675942096),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=80cPUzSQu_iV98Af9NRoww,2014-10
80u7rzcOb_4rgYkpLSWQcQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.79516374472505,-73.82101593976125,POINT (-73.82101593976125 40.79516374472505),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=80u7rzcOb_4rgYkpLSWQcQ,2017-12
80wGCobJiDNXrHUQtfhLYg,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.89576509689451,-73.8973091058128,POINT (-73.8973091058128 40.89576509689451),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=80wGCobJiDNXrHUQtfhLYg,2019-08
811VKDPX_zgp3pEOhWhWVw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.60294261927407,-73.9404071289875,POINT (-73.9404071289875 40.60294261927407),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=811VKDPX_zgp3pEOhWhWVw,2019-10
818NaLvLQSfvmCj5W8nwuw,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.69513323637348,-73.81737941815413,POINT (-73.81737941815413 40.69513323637348),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=818NaLvLQSfvmCj5W8nwuw,2020-11
81BP5oOt_yQheAkYKjf3pg,1,0,1,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.61989575374603,-74.1645239753337,POINT (-74.1645239753337 40.61989575374603),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=81BP5oOt_yQheAkYKjf3pg,2019-09
81Q3E9UtoJQrOwX0KEQ27g,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.59850476539123,-74.08165125833364,POINT (-74.08165125833364 40.59850476539123),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=81Q3E9UtoJQrOwX0KEQ27g,2012-06
81So8V3rBqF3tJkXuLh0mA,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.68266036228164,-73.9171406593328,POINT (-73.9171406593328 40.68266036228164),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=81So8V3rBqF3tJkXuLh0mA,2020-11
81THxzTynfxtMDO7Hvx4pQ,1,1,0,0,0,0,0,All disagree,All disagree,Unanimous,Unanimous,2 vs 1,Unanimous,2 vs 1,40.65916382796164,-73.89925570703738,POINT (-73.89925570703738 40.65916382796164),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=81THxzTynfxtMDO7Hvx4pQ,2019-07
81Xz8KaDh0vZbR-3GIdKnA,4,0,4,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.7819794560694,-73.94572846164613,POINT (-73.94572846164613 40.7819794560694),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=81Xz8KaDh0vZbR-3GIdKnA,2019-06
81aPCkCq1fJECGnXBUshnw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.59140945089436,-74.18611621377798,POINT (-74.18611621377798 40.59140945089436),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=81aPCkCq1fJECGnXBUshnw,2019-10
81oTppwo-CgBb1JTTTF8zQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.67059934353109,-73.84288337355427,POINT (-73.84288337355427 40.67059934353109),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=81oTppwo-CgBb1JTTTF8zQ,2018-06
8212z0lgDao_VcwifJRdLQ,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.57417699240268,-74.08593084287374,POINT (-74.08593084287374 40.57417699240268),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=8212z0lgDao_VcwifJRdLQ,2013-09
82Pu932k-KygsdNhKYl0Hg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.75650768014226,-73.81696872036497,POINT (-73.81696872036497 40.75650768014226),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=82Pu932k-KygsdNhKYl0Hg,2019-08
82STEnk9ocSGPDWvLdA5HQ,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.7223248,-73.9352935,POINT (-73.9352935 40.7223248),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=82STEnk9ocSGPDWvLdA5HQ,2020-10
82bHMBbanFtIvZYb0LPIUw,3,0,3,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.878808776498,-73.88287298755557,POINT (-73.88287298755557 40.878808776498),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=82bHMBbanFtIvZYb0LPIUw,2019-08
82hIHga-QrWZbvUlDkUHbA,1,1,0,0,1,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.72141461801731,-73.98387514817955,POINT (-73.98387514817955 40.72141461801731),Manhattan,https://www.google.com/maps/@?api=1&map_action=pano&pano=82hIHga-QrWZbvUlDkUHbA,2019-06
82kpPF-E7Zc1hlAhuljlAQ,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.60550684071664,-73.93921562282307,POINT (-73.93921562282307 40.60550684071664),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=82kpPF-E7Zc1hlAhuljlAQ,2019-10
833RK3cEpHGxyA2SvgUeBA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,2 vs 1,Unanimous,40.86736087949967,-73.88232802468806,POINT (-73.88232802468806 40.86736087949967),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=833RK3cEpHGxyA2SvgUeBA,2019-08
83GS4xVF4TWkZb3yp3u_oQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.87537891348425,-73.88639648011147,POINT (-73.88639648011147 40.87537891348425),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=83GS4xVF4TWkZb3yp3u_oQ,2019-08
83M2FwratW6t2PWTMMesfg,4,0,4,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.64365002351592,-73.99430123177493,POINT (-73.99430123177493 40.64365002351592),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=83M2FwratW6t2PWTMMesfg,2016-11
83NsXEoh5K2vBOMiXMVnOQ,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.6866491,-73.7877102,POINT (-73.7877102 40.6866491),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=83NsXEoh5K2vBOMiXMVnOQ,2018-07
83TOxVWwy-nyshofHrNlmA,1,0,0,0,0,0,0,2 vs 1,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.57592067916999,-73.95949677752255,POINT (-73.95949677752255 40.57592067916999),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=83TOxVWwy-nyshofHrNlmA,2019-10
83UDIqFZOon271NDxPBEkA,1,0,1,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.52036944324244,-74.20925302056585,POINT (-74.20925302056585 40.52036944324244),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=83UDIqFZOon271NDxPBEkA,2019-09
83XhcDymhNCW74tYNe3Bpg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.5422606,-74.2035366,POINT (-74.2035366 40.5422606),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=83XhcDymhNCW74tYNe3Bpg,2019-09
83_ZuLDo2pfvkhRhvpCfLQ,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,2 vs 1,40.64685961096802,-73.98226343514017,POINT (-73.98226343514017 40.64685961096802),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=83_ZuLDo2pfvkhRhvpCfLQ,2019-06
83ekbioNO-LXt4EZoyXKXA,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,40.56135482155829,-74.12153045831772,POINT (-74.12153045831772 40.56135482155829),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=83ekbioNO-LXt4EZoyXKXA,2018-08
83mGPGM5LagetxnQ7eH97Q,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.78161171850477,-73.83959841052855,POINT (-73.83959841052855 40.78161171850477),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=83mGPGM5LagetxnQ7eH97Q,2013-09
83oR3PVuf0W74S-jfQInsw,3,0,3,0,0,0,0,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,40.77036075210474,-73.77797709530398,POINT (-73.77797709530398 40.77036075210474),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=83oR3PVuf0W74S-jfQInsw,2019-06
83pXC825v6ts5zSPL83kTQ,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.8220333440003,-73.86699424431359,POINT (-73.86699424431359 40.8220333440003),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=83pXC825v6ts5zSPL83kTQ,2019-10
83v8LZN_7Mm-riXrTJ-MKw,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.89484740254287,-73.9113842511579,POINT (-73.9113842511579 40.89484740254287),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=83v8LZN_7Mm-riXrTJ-MKw,2019-10
