PanoramaId,Lat,Long,GoogleLat,GoogleLong
X7F7t3o1eR1gPT_3Mdhuiw,40.890191199864,-73.8195358000371,40.89016591573431,-73.81945362643906
SEqkoCI1A4R3J6Q6OUiQDg,40.8597029998936,-73.8454820000942,40.85972320764842,-73.84560432264036
bebwdVkWcKQRIrqFnHQodQ,40.8565628002331,-73.8694074001314,40.85662415729496,-73.86924502649997
EkUAZd0irLLB24j_pqjjLA,40.8595829997557,-73.866528000267,40.85955563062897,-73.86644771193853
kQTtiuw_dBjZuFsL7WsVvw,40.859675000401,-73.8597990002236,40.85967582743942,-73.85976591444907
zhK_fPWMFHp7SVBJlqCWFA,40.8124998996507,-73.8568074000414,40.81247172899905,-73.8568642606494
jtx5REFx3oE7eEQ2NLZBOg,40.8098299995549,-73.8564317999875,40.8097995,-73.8564356
iH032cPIbuet7GUqjAOswA,40.8587987999247,-73.8343675001599,40.85880677608831,-73.83438179244115
2d0QFeBgHVXYSEOOvWdhlg,40.8076000999647,-73.8559239995928,40.80760578893582,-73.85584785962637
TFr06qUvc40FJ2jOH4WXJw,40.8240739999152,-73.8597840004313,40.82409324190018,-73.85978368119268
Pa5m7MartZCuHIc-CtWGxg,40.8595019996176,-73.8430029999884,40.85951019829036,-73.84301843028784
qyFSq8nLGB1BovlaDqQnsw,40.8078730999637,-73.8567607000462,40.80785830108643,-73.85676232466642
08etHPsW_7CmBN8SA3QYaA,40.8597511001332,-73.8546188998423,40.85974859063882,-73.85466096004205
Kp_908HKqffMn2QVSDAZQA,40.8596320002167,-73.8445379997289,40.8596294232798,-73.84449031834149
ijnxOWll9mWyEhBm7GJE4Q,40.8543670002369,-73.8687009997513,40.85439813155773,-73.86869996108672
0pTd002yJQKiXKHTQTgoDA,40.8278098997072,-73.917224900109,40.82777851337886,-73.91712893637529
D2QeYcQ86ezCYyheBFnFKQ,40.8566264002882,-73.86865849959,40.85658150751179,-73.86862826923874
eJG-wmBXoLNMHM25ZiMQ8g,40.8597939995935,-73.8473600003637,40.8598039771727,-73.84735270167695
wGbAgXCyJnIXkDy2lFNieQ,40.8589549995736,-73.8362436999867,40.85895730470646,-73.83625991640267
sva9ZrGSRg0ON4-j6wnnDg,40.832560000044,-73.885379999987,40.83256627634445,-73.88535993334823
5rXm-ougUlFEBlaEP9tdfA,40.8342109997379,-73.8843940003828,40.83425226941234,-73.88436619957247
veKOk-re0_1JIA4adkSOqw,40.8597599998242,-73.8540139996463,40.85976435681142,-73.85404170914524
uvEWOAnQ-7eAYh0s7olczQ,40.8358854996162,-73.8834017001283,40.83593825282252,-73.8835381739587
v6_wMCIXq4d8hzXKQsmx4A,40.859594000263,-73.8655849999478,40.85956851755907,-73.8655213267772
UmiOr2LW-na2W4uRALMNFA,40.8597330003777,-73.8559669997772,40.85972998297081,-73.85608430546405
UHG0fj01E1qRhiJeSG5sVw,40.8309009999812,-73.8863760000523,40.83093277149734,-73.88645970975352
c5Iq3Hc68HW_WSDU3qAgoQ,40.8591892999463,-73.8390585995747,40.85918548231389,-73.83903174992547
X7WwgbEEy6XdnrOdVyt9jw,40.8300589998231,-73.8864099998216,40.83010135862011,-73.88628978223173
dwj-lqy_SEehxQNU6IKh7w,40.843909,-73.9241279999072,40.84389671011726,-73.92414730682027
YDge6ilncp-IHpjkf06QUQ,40.8444191997863,-73.925053799793,40.84440388519911,-73.92507571490972
bALbGATapvGOVgGQdID7VQ,40.859030100159,-73.8371744002783,40.85902960503826,-73.83712699914474
8pMkMVSxJXTIGKV5lFJX1A,40.8593319998719,-73.8409319998119,40.85933629943598,-73.84091350898777
0FbXw0Of21jnsT7d4yog1A,40.859637999594,-73.8627650003045,40.85956787927659,-73.86279897941104
cr9zsDQilEQvyxzR7_rfdA,40.8902395995779,-73.8197159000687,40.89022275058327,-73.81971282241771
Ii3eqLbloc1HQvf_XiDZhw,40.8926347001313,-73.9098997997359,40.89270732033832,-73.90984307251864
_feFQcqbq_H7Ro5a3hHDLQ,40.8463064990457,-73.9094306000421,40.84627706096946,-73.90936250576544
1eLhQCdkiPEFpwpm-3eQbw,40.8860049996311,-73.911848000185,40.88600358251781,-73.91183144186192
PJZTn1WsLXgDngUBNLMVoA,40.8461850977641,-73.9093216957396,40.8461886113009,-73.90931002640475
9D5xCw9YmsmZetkGx8y8Dw,40.8208543001859,-73.9211803001307,40.82092086058829,-73.92109429704087
yTfxnoOQ-KsxskioZhiw4A,40.8944287999492,-73.9100494999844,40.89446297554841,-73.91015467886535
Hi73XGW_Yy6dMuf6z8iwfw,40.8466380997685,-73.8351958998708,40.84654903183204,-73.83519270480511
DFurxEzVSHGAgcop9dQcpQ,40.8965690002592,-73.909909300174,40.89658145630451,-73.90981167468969
Kd80gTMwnTblPlbfwti-UA,40.8440742998891,-73.8356741998044,40.84406209342477,-73.83572514467886
H98p9o0KfiUTHaAAS9dUNQ,40.8995999997402,-73.9088277997631,40.89969421207349,-73.90880658265694
yArZxSbdQ-cvEWmShc_sVA,40.9022589002281,-73.9078336999652,40.90223464673716,-73.90788769578377
aaSgF3Q5fmck92Was9qCxg,40.9000987997199,-73.8422072996271,40.90009725860142,-73.8422192161392
qR1tiaG3lFTMUqNR0xfURQ,40.8787754000647,-73.9165605996919,40.8788177,-73.9165676
TqiaFCq2OiJpIOu0d4RuKQ,40.9064221002997,-73.9067328002785,40.90634513873304,-73.90673681593384
_3q4IPw_kJMNndt5EzHAAw,40.9044655001828,-73.9071674003552,40.9044935548115,-73.90725327287365
Phs3SC0tNqBaH3sW_US2uw,40.8090539997423,-73.9148311998,40.8090515805354,-73.91479588208676
dEM6KI-LNL3y4ZP5JbhLJQ,40.877047000219,-73.9002139996763,40.87712352261685,-73.90032194249686
rx9hWxrDIwZ3mclrETOSKw,40.8601345000072,-73.9064029001736,40.86011282890703,-73.90611916500869
e4Lifi9cC4hvXMJs1TvhJA,40.861489399716,-73.9052107004135,40.8614106748219,-73.90493920857041
pMBSiW_VHDyEQrUuni83jg,40.876061800112,-73.9013365001793,40.87601487860205,-73.90126625353001
lEfhKXxbRHSEhaKRBiHJoA,40.8678210001391,-73.8634460002327,40.86783013904682,-73.86350981639693
HCfRKcC5u1yK-YAvbUo6SQ,40.8596079001845,-73.9068669998122,40.85960128417157,-73.90659902208444
X1eSEnWnlKyLuDlpITe9Gw,40.8773679997335,-73.868068000238,40.8774879178177,-73.86803418597162
An03zXA5lrTkcne2ar1DIw,40.8675749995866,-73.8500029999385,40.8675766857982,-73.85004600894597
ceUohJcnVf0UnIfy_RNtgA,40.8564941001227,-73.9095932999908,40.85660167969983,-73.90994695444236
W3rHr9WFP_hPBS3l2CDUDw,40.8665970003514,-73.8005632003314,40.86657599584761,-73.80057534618695
TMPorUYFH1GG9jIu84J8pw,40.8679486004476,-73.8704751004455,40.86795096520675,-73.87043581103082
xBn6LGpGyak0A7pG8LFx5g,40.8677820001392,-73.8614980003324,40.86778637496652,-73.86136635916615
HoTZ4IbKRd4Xd88gAR9T-g,40.8678739998853,-73.8662639997837,40.86790252608218,-73.86627346012109
WvZTZSb79D0RHzk-ejmt2w,40.869351100373,-73.836564400027,40.86926782929552,-73.83651612889042
D-cz5TpWJ0XS1I3yGBVHPg,40.8663250003985,-73.7960414000905,40.86637175614015,-73.79617173567328
iDjER4Bmrbm8hw8_x01uIg,40.8658464999161,-73.8009386996612,40.86587321973686,-73.80096816684953
1cQSOrw0Z3UTX8za5i8Peg,40.8678580000467,-73.8412239997877,40.86788759117749,-73.84126448032954
AgmIjdcSc74CDhVrijvDow,40.8653069003932,-73.8016307000967,40.8653398415474,-73.80157824911285
UGpmwNi0T99vse7IVpwlrA,40.8342653997285,-73.8239371001171,40.8343196,-73.8238162
wq5LfNbyD2dbs6uv_MC9og,40.8675410996421,-73.8428141999154,40.8675296040117,-73.84284981126861
iWoOVAJVGdlIrZA1Bhizow,40.8647713999802,-73.8018452999206,40.864729823452,-73.80184195630005
GLxvqA6ftsZJ3-b9KXztqQ,40.8673340999888,-73.8428951002286,40.8673487952608,-73.842966561334
xS3H_hhzyQq-xn7dMDBH_A,40.8696219995557,-73.8357262004038,40.86960173816931,-73.83578087443941
eZ-C_YMfspCTePGiQhbYig,40.8698772999974,-73.8348910000196,40.86991908215596,-73.83491758108357
IzX6p70RJkVrw25jbWgL1Q,40.8895213002679,-73.9182621997407,40.8894279802085,-73.91831895552056
nKXkcisGW7xYCzARgqqNyA,40.867465999956,-73.8442920000757,40.86746600396317,-73.84429121206865
OPR0D7gY6JfsERt09cbL3A,40.8792142998001,-73.9201843000653,40.8792418,-73.9202046
HXvIlCIPwYkWQ3qTWVnH7g,40.8676419999784,-73.8537560003391,40.86770714292331,-73.85375624690536
